,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
Inbound,0.05330119571386148,0.8112719787000541,0.03922789063509956,0.0005643990437453075,0.005955671073807494,0.043456157529656744,0.005855056495315956,0.0011543776990958455,0.0006429252064935445,0.0,0.0,0.00022386749233998903,0.0006822870431518436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667722088314826,0.0,0.04006332529888956,1,3,0.23399999999999999,0.09824432770922269,Direction_Analysis,Inbound
Down/Up Ratio,0.002179135779770503,0.0,0.0006549767706040741,0.0016650575520463426,0.0013249979388971283,0.0,0.0028916277976866983,0.0,0.0,0.0,0.0,0.0,0.0011805293016382986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012575137799518284,0.0,0.000754508267971097,0,0,0.0,0.0005281557875797679,Direction_Analysis,Down/Up Ratio
