,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
min_seg_size_forward,0.010962184453932995,0.00015203753600825446,0.009709965157204336,0.004343860174896828,0.023768939285539754,0.010882302383057043,0.020586734983530613,0.00018922047346023844,0.008089288081701809,0.7544930606035944,0.0014221592172417106,0.0,0.28142244655188176,0.0061433130616881364,0.24474660074165638,0.014737446973922154,0.0,0.0,0.0,0.0,0.20168067226890757,0.004236983411640617,0.007702182284980744,0.0,0.005808763772498969,0.05778301886792452,0.06013787450397904,0.041756844721786084,0.05278546259110185,2,9,0.552,0.2025498238137713,TCP_Connection,min_seg_size_forward
Init_Win_bytes_forward,0.01757561641349482,0.0027995259264984463,0.003610039858446546,0.0009526199725645449,0.002500829750899604,0.0,0.005375616295699508,0.0,0.0028063857283444956,0.0,0.006622135214644707,0.011104033124047244,0.0,0.0161735273435387,0.0,0.15814024235663945,0.0,0.07325720600423612,0.0,0.0,0.0,0.0,0.0,0.0,0.016200588870088867,0.0,0.008818805858955184,0.020290120351884856,0.013407331656127053,2,5,0.43999999999999995,0.1413851321592889,TCP_Connection,Init_Win_bytes_forward
act_data_pkt_fwd,0.15001534096138103,0.0006015252842069535,0.20502853331941195,0.0,0.008197444477999239,0.0,0.6795174994563861,0.0,0.0,0.00241013760192811,0.0,0.0,0.0007501820374948326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10483140249342376,0.0,0.06289884149605425,1,2,0.206,0.10582918904723797,TCP_Connection,act_data_pkt_fwd
Init_Win_bytes_backward,0.01496675405851216,0.00022823972400756598,0.0051875818839869515,0.000489648645898119,0.005205895938623038,0.0,0.038125276969499786,0.0,0.0005677238057340103,0.0,0.0,0.0005832170839923372,0.0006820444831720537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008540183050150557,0.0,0.005124109830090334,1,1,0.178,0.05698687688106323,TCP_Connection,Init_Win_bytes_backward
