,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
Fwd Packets/s,0.0020963452915955107,0.00046971764766756306,0.012918686209153532,0.002694564322396548,0.02113943181143955,0.001594901056140517,0.0014426693988458647,5.426286825688269e-05,0.07268831073415194,0.002184765201747812,0.0028231752357137864,0.002133740631677737,0.0023427373048031277,0.0,0.0,0.0,0.0,0.0,0.816,0.0,0.48179271708683474,0.0,0.0,0.0,0.0,0.0,0.006962886237737947,0.09983020900667959,0.04410981534531461,1,5,0.29,0.11787687074172022,Flow_Rates,Fwd Packets/s
Flow Bytes/s,0.004713881960175388,0.00045569155803581806,0.023600439382091117,0.0064080838154471865,0.030458070491590106,0.009682205340813627,0.0015085467987931628,0.00024409767866342193,0.11494277516092202,0.004649820703719856,0.00025782313499675614,0.0008028311966678583,0.005273062260648453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011799725160189622,0.0,0.007079835096113773,0,3,0.08399999999999999,0.030155884567279637,Flow_Rates,Flow Bytes/s
Flow Packets/s,0.0028580901526766966,0.0011236627704982337,0.008730514141347024,0.0010905274685928089,0.007665899082161604,0.004885982871986597,0.0011433724990853023,4.1116531406003996e-05,0.0013415612135497682,0.002855309802284248,0.0016931564014718427,0.0026758259889147914,0.004046416962852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030079033477782165,0.0,0.0018047420086669298,0,0,0.0,0.0012633194060668509,Flow_Rates,Flow Packets/s
Bwd Packets/s,0.0017997599432624577,0.00017748663534008835,0.0025946482420073553,0.0015737169546769518,0.004608527830917568,0.0,0.0024510016980391993,0.0,0.0,0.0,0.00025219003532455747,0.00019276002479393269,0.0004111261457449695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013329768556472141,0.0,0.0007997861133883285,0,0,0.0,0.0005598502793718299,Flow_Rates,Bwd Packets/s
