,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
Protocol,0.003097823055489091,0.0005452673856840047,0.022970721371895982,0.0,0.0,0.0,0.025166220979867027,0.0,0.0,0.0,0.0,0.005874084536616968,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.12885154061624648,0.0,0.029525032092426184,0.0,0.0,0.02653301886792453,0.0039669439358988355,0.028377660890507476,0.013731230717742293,1,6,0.31799999999999995,0.10501186150241959,Protocol_Network,Protocol
Fwd Header Length,0.005016657520735792,0.0011629110694677696,0.0034672394561346075,0.0026090277248600018,0.016314158941442856,0.00904039431822188,0.0023922819980861745,0.0007703087326673137,0.005704209057612511,0.00845383800676307,0.01440626766167047,0.10486076172795396,0.06494251458898968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896358543417367,0.0,0.0,0.0,0.0,0.0,0.01371285867248783,0.00689506571859513,0.010985741490930751,1,5,0.29,0.09469001904365151,Protocol_Network,Fwd Header Length
Source Port,0.007923383026621069,0.10534495723416813,0.08449999136805486,0.03820757489962184,0.04512037013520273,0.1922803467682682,0.007218803994224958,0.0006307765448638222,0.026463835267284738,0.040881112032704885,0.009905560423575627,0.010756167151488999,0.059090889076547116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03418937245544872,0.0,0.020513623473269234,0,9,0.252,0.08995953643128846,Protocol_Network,Source Port
Destination Port,0.0016287111441737289,0.029500694225459267,0.0016742985271068934,0.000988212571539478,0.0027201147904366966,0.0010487112369146354,0.002310010798151992,0.00010995363038895318,0.001556328615718919,0.0038171813030537446,0.0020916234782842463,0.0037707385025415223,0.003297822925225394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306803594351733,0.0,0.0,0.4121462264150943,0.0032957689879105786,0.06483281429617443,0.02791058711121612,1,3,0.23399999999999999,0.08973741097785129,Protocol_Network,Destination Port
Bwd Header Length,0.0010622193094953188,0.00012886081661675925,0.0026242188424861032,0.00031286929098936446,0.002322033718662679,0.0,0.00028447716977241834,0.0,0.000559663465652601,0.0,9.94370942135566e-05,9.85220522279894e-06,0.0004743056104808565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007656736345029844,0.0,0.0004594041807017906,0,0,0.0,0.0003215829264912534,Protocol_Network,Bwd Header Length
