,xgb_global,xgb_benign,xgb_DrDoS_DNS,xgb_DrDoS_LDAP,xgb_DrDoS_MSSQL,xgb_DrDoS_NetBIOS,xgb_DrDoS_NTP,xgb_DrDoS_SNMP,xgb_DrDoS_SSDP,xgb_DrDoS_UDP,xgb_Syn,xgb_TFTP,xgb_UDPLag,paper_UDPLag,paper_TFTP,paper_WebDDoS,paper_DrDoS_DNS,paper_benign,paper_DrDoS_MSSQL,paper_DrDoS_LDAP,paper_DrDoS_NetBIOS,paper_DrDoS_NTP,paper_DrDoS_SSDP,paper_DrDoS_SNMP,paper_Syn,paper_DrDoS_UDP,xgb_weighted,paper_avg,combined_score,method_count,class_count,consistency_score,final_score,category,feature_name
Subflow Fwd Bytes,0.00897480164141469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381304535430051,0.0,0.0,0.0,0.0,0.0035899206565658762,0.04908695796484655,0.02178873557987815,1,1,0.178,0.0686521149059147,Packet_Counts,Subflow Fwd Bytes
Total Fwd Packets,0.004447949371338883,0.00030743059192840975,0.022164720358846823,0.0012003817654290053,0.002527814555764964,0.024876518875653463,0.0024959295980032563,0.0,0.003186344932182084,0.0033603092026882474,0.0004546838235410389,7.589329401308161e-05,0.0006421309464976496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004843787645762954,0.0,0.002906272587457772,0,2,0.055999999999999994,0.018834390811220438,Packet_Counts,Total Fwd Packets
Subflow Fwd Packets,0.006267502363609165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002507000945443666,0.0,0.0015042005672661998,0,0,0.0,0.0010529403970863398,Packet_Counts,Subflow Fwd Packets
Total Backward Packets,0.000843172648549311,0.002783233426926206,0.0012482257202087745,0.0,0.0027942921038108665,0.0,0.00033334985973332016,0.0,0.0,0.0,0.0016782897023369654,0.0001304906497061146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007856631325558368,0.0,0.00047139787953350205,0,0,0.0,0.0003299785156734514,Packet_Counts,Total Backward Packets
Subflow Bwd Packets,0.00035393469469531064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014157387787812426,0.0,8.494432672687455e-05,0,0,0.0,5.946102870881218e-05,Packet_Counts,Subflow Bwd Packets
Subflow Bwd Bytes,6.345679549442855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5382718197771418e-05,0.0,1.522963091866285e-05,0,0,0.0,1.0660741643063995e-05,Packet_Counts,Subflow Bwd Bytes
